deny,p_irat,black,hse_inc,loan_val,ccred,mcred,pubrec,denpmi,selfemp,single,hischl,probunmp,condo,ltv_med,ltv_high
0,.21700001,0,.213,.6388889,1,1,0,0,0,0,1,3.2,0,0,0
0,.25999999,0,.22,.94594592,6,2,0,0,0,0,1,3.9000001,0,1,0
1,.46000001,0,.27000001,.83999997,5,2,0,0,0,1,1,5.3000002,0,1,0
0,.49000001,0,.27000001,.19948186,1,1,0,0,0,0,1,3.2,0,0,0
0,.25999999,0,.25999999,.36666667,1,2,0,0,0,0,1,4.3000002,0,0,0
0,.30000001,0,.30000001,.78125,1,1,0,0,0,0,1,3.9000001,0,0,0
0,.25,0,.25,.64041096,1,2,0,0,0,0,1,3.0999999,0,0,0
0,.36000001,0,.34999999,.79000002,1,1,0,0,0,0,1,3.2,0,0,0
0,.36000001,0,.34999999,.91447371,1,2,0,0,0,1,1,3.2,1,1,0
1,.38,0,.25999999,.8826291,6,1,1,0,0,0,1,3.2,0,1,0
0,.36000001,0,.322,.64864862,5,1,0,0,0,1,1,3.0999999,0,0,0
0,.22,0,.22,.67701864,1,2,0,0,0,1,1,3.2,0,0,0
0,.27040002,0,.1675,.78698224,3,3,0,0,0,0,1,3.0999999,1,0,0
0,.40000001,0,.34,.80000001,2,2,0,0,1,1,1,3.2,1,1,0
0,.25999999,0,.17,.70769233,1,1,0,0,0,1,1,3.0999999,1,0,0
0,.38999999,0,.36000001,.89090908,1,2,0,0,0,0,1,3.0999999,0,1,0
0,.24299999,0,.155,.58436215,1,1,0,0,0,1,1,3.2,1,0,0
0,.23999999,0,.1,.5714286,2,2,0,0,0,1,1,1.8,1,0,0
1,.24229999,0,.2315,.90265489,5,2,0,0,0,1,0,10.6,1,1,0
0,.25999999,0,.20999999,.80000001,2,2,0,0,0,1,1,3.2,0,1,0
1,.34999999,0,.25999999,.81355929,2,2,0,0,0,1,1,4.3000002,1,1,0
0,.28799999,0,.206,.7478261,2,2,0,0,0,0,1,3.2,0,0,0
1,.40000001,0,.31,.92485547,2,2,0,0,1,0,1,3.2,0,1,0
0,.28999999,0,.17,1,1,2,0,0,0,0,1,3.0999999,1,0,1
0,.1,0,.079999998,.5479452,1,1,0,0,1,1,1,1.8,0,0,0
0,.28,0,.13,.62962961,1,2,0,0,0,1,1,3.2,1,0,0
0,.28999999,0,.28999999,.77519381,1,2,0,0,0,0,1,3.0999999,0,0,0
0,.33560002,0,.32080001,.87804878,1,2,0,0,0,0,1,1.8,0,1,0
0,.25,0,.23999999,.80000001,2,2,0,0,0,1,1,3.2,1,1,0
0,.28,0,.28,.72432435,2,1,0,0,0,0,1,3.9000001,0,0,0
0,.33000001,0,.20999999,.77083331,6,2,0,0,0,1,1,3.2,0,0,0
0,.28260002,0,.27520001,.47117794,1,1,0,0,0,0,1,1.8,0,0,0
0,.221,0,.221,.80000001,5,2,0,0,0,0,1,3.9000001,0,1,0
0,.30329999,0,.23799999,.48048049,2,1,0,0,0,0,1,4.3000002,0,0,0
0,.35900003,0,.34200001,.84210527,2,1,0,0,0,0,1,3.0999999,0,1,0
0,.38999999,0,.23,.6557377,5,1,0,0,0,0,1,3.2,0,0,0
0,.27000001,0,.25999999,.72448981,1,2,0,0,0,1,1,3.2,1,0,0
0,.27000001,0,.27000001,.80263156,2,2,0,0,0,0,1,2,0,1,0
0,.37,0,.30000001,.45693779,6,1,0,0,1,0,1,3.0999999,0,0,0
0,.31999999,0,.28999999,.91666669,1,2,0,0,0,0,1,3.0999999,0,1,0
0,.34999999,0,.28999999,.72972971,1,2,0,0,0,1,1,1.8,0,0,0
0,.35699999,0,.29899999,.75308645,1,2,0,0,0,1,1,2,0,0,0
0,.23999999,0,.23,.79041916,1,1,0,0,0,1,1,3.2,0,0,0
0,.33000001,0,.28999999,.79941005,2,1,1,0,0,0,1,4.3000002,0,0,0
0,.30879998,0,.30649999,.84056044,1,2,0,0,0,1,1,4.3000002,1,1,0
0,.28440002,0,.21430001,.33812949,1,1,0,0,0,0,1,3.0999999,0,0,0
0,.38999999,0,.28,.47619048,1,2,0,0,0,0,1,3.2,0,0,0
0,.31999999,0,.31,.80000001,1,2,0,0,0,1,1,3.0999999,1,1,0
0,.38,0,.18000001,.87596899,1,2,0,0,0,0,1,1.8,0,1,0
0,.3211,0,.2018,.8984375,1,2,0,0,0,0,1,3.5999999,0,1,0
0,.30399999,0,.27700001,.65217394,1,2,0,0,0,1,1,1.8,0,0,0
0,.34,0,.2,.35042736,1,2,0,0,0,1,1,3.2,0,0,0
0,.36000001,0,.33000001,.60169494,6,2,0,0,0,1,1,1.8,1,0,0
1,.31299999,0,.214,.94285715,5,2,0,1,0,0,1,3.9000001,0,1,0
0,.30000001,0,.30000001,.52941179,1,1,0,0,0,1,1,5.3000002,0,0,0
0,.28999999,0,.22,.71724141,1,2,0,0,1,1,1,10.6,0,0,0
0,.37,0,.25,.87484813,1,1,0,0,0,1,1,3.0999999,0,1,0
0,.27000001,0,.27000001,.5,1,1,0,0,0,1,1,4.3000002,0,0,0
0,.37799999,0,.214,.76146787,1,1,0,0,1,1,1,3.2,1,0,0
1,.37,0,.31999999,.86976743,1,2,0,0,1,0,1,4.3000002,0,1,0
0,.28999999,0,.1,.64473683,2,2,0,0,0,0,1,3.0999999,0,0,0
0,.32950002,0,.26809999,.82481754,1,2,0,0,0,0,1,3.9000001,1,1,0
0,.38,0,.28,.66666669,3,1,0,0,0,0,1,10.6,0,0,0
0,.20999999,0,.20999999,.47619048,1,1,0,0,0,0,1,3.2,0,0,0
0,.36000001,0,.23999999,.78431374,1,4,0,0,0,1,1,5.3000002,1,0,0
0,.34,0,.33000001,.77777779,2,2,0,0,0,0,1,3.2,0,0,0
0,.37900001,0,.24700001,.80341882,6,2,1,0,0,1,1,3.2,1,1,0
0,.23999999,0,.079999998,.63333333,3,2,0,0,0,0,1,3.0999999,1,0,0
0,.35769999,0,.14120001,.65550238,1,1,0,0,0,0,1,3.2,0,0,0
0,.27500001,0,.23799999,.71065992,1,2,0,0,0,1,1,3.5999999,1,0,0
0,.40990001,0,.20389999,.74342108,1,2,0,0,1,0,1,4.3000002,0,0,0
0,.039999999,0,.039999999,.48913044,2,1,0,0,0,1,1,10.6,1,0,0
0,.338,0,.27000001,.86400002,1,2,0,0,0,0,1,3.2,0,1,0
0,.41999999,0,.31999999,.80000001,2,2,0,0,0,1,1,3.5999999,1,1,0
0,.34099999,0,.34099999,.93877554,4,2,0,0,0,0,1,3.9000001,0,1,0
0,.34,0,.33000001,.5,1,2,0,0,0,1,1,3.2,0,0,0
0,.36400002,0,.12800001,.95238096,5,2,0,0,0,0,1,3.9000001,0,0,1
0,.23999999,0,.20999999,.10964912,1,2,0,0,1,1,1,3.2,0,0,0
0,.29299998,0,.25,.85217392,1,2,0,0,0,0,1,3.9000001,0,1,0
0,.23999999,0,.17,.79870129,1,1,0,0,0,0,1,4.3000002,0,0,0
0,.32169998,0,.31530002,.90322578,1,2,0,0,0,1,1,3.5999999,1,1,0
0,.33000001,0,.28999999,.80714285,1,2,0,0,1,1,1,10.6,0,1,0
0,.37200001,0,.248,.920398,1,2,0,0,0,0,1,3.2,0,1,0
0,.34999999,0,.30000001,.6837607,1,2,0,0,0,1,1,3.0999999,1,0,0
0,.375,0,.26969999,.78571427,1,2,0,0,0,1,1,3.2,0,0,0
0,.40599999,0,.28999999,1.14,1,1,0,0,0,0,1,3.2,0,0,1
0,.34,0,.28,.79213482,6,2,0,0,0,0,1,3.2,0,0,0
1,.19,0,.079999998,.75454545,1,2,0,0,1,1,1,1.8,1,0,0
0,.44,0,.31999999,.65034968,1,2,0,0,1,1,1,4.3000002,0,0,0
0,.30000001,0,.17,.40217391,1,1,0,0,0,0,1,3.0999999,0,0,0
0,.40889999,0,.27290002,.89600003,5,2,0,0,0,0,1,3.9000001,0,1,0
0,.28999999,0,.20999999,.3125,1,2,0,0,0,1,1,3.2,0,0,0
0,.245,0,.213,.70422536,1,3,0,0,1,0,1,3.2,0,0,0
1,.37,0,.28420001,.83333331,2,1,0,0,0,0,1,3.9000001,0,1,0
0,.38999999,0,.30000001,.83941609,2,2,0,0,0,1,1,10.6,0,1,0
0,.46000001,0,.46000001,.77142859,1,2,0,0,0,1,1,10.6,0,0,0
0,.34999999,0,.20999999,.87719297,2,1,0,0,0,1,1,3.2,0,1,0
0,.31999999,0,.23,.79702967,5,2,0,0,0,0,1,3.0999999,0,0,0
0,.31999999,0,.27000001,.74336284,2,2,0,0,1,1,1,3.2,0,0,0
0,.31,0,.22,.73000002,5,2,0,0,0,0,1,1.8,0,0,0
0,.31999999,0,.25999999,.46948355,3,3,0,0,0,0,1,10.6,0,0,0
0,.3527,0,.26840001,.89795917,6,2,0,0,0,1,1,1.8,0,1,0
0,.34999999,0,.30000001,.8974359,1,2,0,0,0,1,1,4.3000002,1,1,0
0,.30000001,0,.125,.80000001,2,1,0,0,0,0,1,5.3000002,0,1,0
0,.31999999,0,.22,.78787881,3,1,0,0,0,0,1,1.8,0,0,0
0,.36000001,0,.27000001,.75238097,1,2,0,0,0,1,1,3.2,0,0,0
0,.34999999,0,.244,.80000001,1,2,0,0,0,0,1,3.0999999,0,1,0
0,.33930001,0,.21180001,.85987264,2,2,0,0,0,0,1,3.5999999,0,1,0
0,.219,0,.169,.58181816,1,1,0,0,0,0,1,3.9000001,0,0,0
0,.39900002,0,.28299999,.44680852,1,3,0,0,0,0,1,2,0,0,0
0,.33000001,0,.25999999,.72789115,2,2,0,0,0,1,1,5.3000002,0,0,0
0,.22,0,.090100005,.69291341,1,2,0,0,1,1,1,4.3000002,1,0,0
1,.30000001,0,.30000001,.5,6,2,1,0,0,1,1,3.0999999,0,0,0
0,.25400001,0,.24299999,.6635071,1,1,0,0,0,1,1,4.3000002,0,0,0
0,.28999999,0,.23999999,.63451779,1,1,0,0,0,1,1,10.6,0,0,0
0,.37,0,.27000001,.59504133,1,2,0,0,0,1,1,10.6,1,0,0
0,.25999999,0,.18000001,.80000001,2,2,0,0,0,0,1,3.0999999,0,1,0
0,.36000001,0,.30000001,.63971341,1,1,0,0,0,1,1,3.2,0,0,0
0,.40000001,0,.12,.76612902,1,1,0,0,0,0,1,3.0999999,1,0,0
0,.25,0,.23999999,.65697676,1,2,0,0,0,0,1,3.9000001,0,0,0
0,.26100001,0,.234,.51820731,2,1,0,0,0,0,1,3.0999999,0,0,0
0,.33000001,0,.20999999,.47425476,1,1,0,0,1,0,1,3.5999999,0,0,0
0,.36000001,0,.28999999,.80000001,2,2,0,0,0,0,1,3.2,0,1,0
0,.27000001,0,.23999999,.95098037,1,2,0,0,0,0,1,3.2,0,0,1
0,.38,0,.23999999,.56291389,1,2,0,0,0,0,1,10.6,0,0,0
0,.41999999,0,.34999999,.80000001,2,3,0,0,1,0,1,3.2,0,1,0
0,.33000001,0,.25,.79338843,1,2,0,0,0,0,1,5.3000002,1,0,0
0,.34,0,.23,.80000001,1,1,0,0,0,0,1,3.9000001,0,1,0
0,.42089999,0,.30149999,.77165353,1,1,0,0,0,0,1,5.3000002,0,0,0
0,.61000001,0,.25999999,.8888889,1,1,0,0,0,1,1,3.0999999,1,1,0
0,.37,0,.28,.90532547,1,2,0,0,0,0,1,1.8,0,1,0
0,.34999999,0,.34,.60000002,1,1,0,0,0,0,1,3.2,0,0,0
0,.36000001,0,.31999999,.75675678,2,1,0,0,0,0,1,3.2,0,0,0
0,.23999999,0,.23999999,.63106793,1,2,0,0,1,0,1,4.3000002,0,0,0
1,.36700001,0,.23,.8046875,6,2,1,0,0,1,1,1.8,1,1,0
0,.28,0,.28,.43681318,1,1,0,0,0,0,1,3.2,0,0,0
1,.38999999,0,.27000001,.89622641,6,2,1,0,0,1,1,3.0999999,1,1,0
0,.49000001,0,.28,.88188976,5,2,0,0,0,0,1,3.2,1,1,0
1,.36000001,0,.31999999,.80000001,6,2,1,0,0,0,1,2,0,1,0
0,.40000001,0,.23,.80000001,5,1,0,0,0,1,1,3.2,1,1,0
0,.5,0,.41,.77205884,1,2,0,0,0,1,1,3.2,1,0,0
0,.30000001,0,.23,.73124999,1,2,0,0,0,0,1,3.2,0,0,0
0,.49000001,0,.34,.79383427,1,2,0,0,0,0,1,3.2,0,0,0
1,.37,0,.27000001,.84375,1,1,0,0,0,1,1,4.3000002,1,1,0
0,.38999999,0,.31,.81333333,2,2,0,0,0,0,1,3.2,0,1,0
0,.33230001,0,.33009997,.53636366,1,1,0,0,0,0,1,3.2,0,0,0
0,.31200001,0,.257,.80116957,1,2,0,0,0,0,1,4.3000002,0,1,0
0,.30000001,0,.13,.5,1,1,0,0,0,0,1,3.0999999,0,0,0
1,.31999999,0,.28,.80000001,1,2,0,0,0,1,1,3.2,1,1,0
0,.31999999,0,.23,.80000001,3,2,0,0,0,1,1,3.0999999,1,1,0
0,.31999999,0,.28,.47445256,1,2,0,0,0,1,1,1.8,1,0,0
0,.31,0,.27000001,.88321167,1,2,0,0,0,0,1,5.3000002,0,1,0
0,.34529999,0,.17629999,.75423729,1,2,0,0,0,1,1,3.2,1,0,0
0,.34999999,0,.28,.80000001,1,2,0,0,0,1,1,1.8,0,1,0
0,.31,0,.23999999,.66666669,2,1,0,0,0,0,1,3.0999999,0,0,0
0,.28,0,.33000001,.62857145,1,2,1,0,0,0,1,3.2,0,0,0
0,.28,0,.25,.80000001,1,2,0,0,0,0,1,3.2,0,1,0
0,.40000001,0,.31999999,.79378533,1,2,0,0,0,0,1,3.0999999,0,0,0
0,.27000001,0,.25999999,.62068963,2,1,0,0,0,1,1,3.9000001,0,0,0
0,.38169998,0,.2385,.77542371,1,1,1,0,0,0,1,4.3000002,0,0,0
0,.44999999,0,.23799999,.60000002,6,1,0,0,0,0,1,1.8,0,0,0
0,.34,0,.18000001,.6111111,1,2,0,0,1,1,1,10.6,0,0,0
1,.12,0,.12,.79545456,3,2,1,0,0,1,1,1.8,0,0,0
0,.19950001,0,.1762,.45333335,2,1,0,0,0,0,1,3.2,1,0,0
1,.43000001,0,.43000001,.64231735,1,1,0,0,1,0,1,3.0999999,0,0,0
0,.28,0,.25,.736,1,1,0,0,0,1,1,3.2,0,0,0
0,.33000001,0,.30899999,.30232558,1,1,0,0,0,0,1,3.2,0,0,0
0,.30000001,0,.25999999,.5825243,1,1,0,0,0,1,1,2,1,0,0
0,.38,0,.33000001,.54054052,3,1,0,0,0,1,1,1.8,0,0,0
0,.27000001,0,.27000001,.75126904,2,2,0,0,0,0,1,4.3000002,0,0,0
0,.34849998,0,.287,.49456522,1,2,0,0,0,0,1,3.2,0,0,0
0,.30000001,0,.25999999,.625,1,2,0,0,0,1,1,3.2,0,0,0
0,.34999999,0,.28999999,.84722221,1,2,0,0,0,0,1,4.3000002,0,1,0
0,.25749999,0,.21450001,.625,1,2,0,0,0,0,1,3.2,0,0,0
0,0,0,.28999999,.6294964,1,1,0,0,0,0,1,3.0999999,0,0,0
0,.28,0,.23999999,.78358209,1,2,0,0,0,0,1,3.2,0,0,0
0,.37259999,0,.27956,.80000001,1,2,0,0,0,0,1,4.3000002,0,1,0
0,.38999999,0,.28,.78904992,1,1,0,0,0,0,1,3.2,0,0,0
0,.34,0,.25999999,.94067794,2,2,0,0,0,0,0,3.2,0,1,0
0,.2236,0,.21690001,.94318181,1,2,0,0,0,1,1,2,1,1,0
0,.17,0,.090000004,.75690609,1,1,0,0,1,0,1,4.3000002,1,0,0
0,.34999999,0,.23,.78321677,2,2,1,0,0,1,1,3.2,1,0,0
0,.38900003,0,.271,.91923076,6,2,0,0,0,1,1,3.0999999,1,1,0
0,.31999999,0,.25,.75199997,1,1,0,0,0,0,1,3.2,0,0,0
0,.36000001,0,.23999999,.80000001,1,2,0,0,0,0,1,2,0,1,0
0,.46000001,0,.31,.61538464,2,2,0,0,0,0,1,3.9000001,0,0,0
0,.40000001,0,.30000001,.69536424,1,2,0,0,0,0,1,3.9000001,0,0,0
0,.34999999,0,.31999999,.65631068,2,1,0,0,0,0,1,10.6,0,0,0
0,.37,0,.30000001,.78260869,6,2,1,0,0,1,1,1.8,0,0,0
0,.36500001,0,.26199999,.61818182,2,2,0,0,0,1,1,3.9000001,1,0,0
0,.14,0,.12,.31999999,1,1,0,0,0,0,1,3.2,0,0,0
0,.43000001,0,.34999999,.5147059,5,2,1,0,0,0,1,3.2,0,0,0
0,.3206,0,.27969998,.8865248,1,1,0,0,0,0,1,3.0999999,0,1,0
1,.31,0,.23999999,.89726025,2,2,0,1,0,0,1,3.0999999,0,1,0
0,.38799998,0,.27399999,.7096774,1,1,0,0,0,0,1,3.2,0,0,0
0,.55000001,0,.23999999,.5106383,3,4,0,0,0,0,1,1.8,0,0,0
0,.36000001,0,.30000001,.94375002,2,2,0,0,0,0,1,3.2,0,1,0
0,.31,0,.28,.80263156,1,1,0,0,0,0,1,3.2,0,1,0
0,.34999999,0,.15000001,.53428572,3,1,0,0,0,1,1,3.2,1,0,0
0,.33000001,0,.27000001,.60576922,3,2,0,0,0,1,1,3.2,1,0,0
0,.47999999,0,.47999999,.72820514,3,1,0,0,1,1,1,10.6,0,0,0
0,.278,0,.162,.40000001,5,2,0,0,0,0,1,1.8,0,0,0
0,.3768,0,.20200001,.884058,1,1,0,0,1,0,1,1.8,0,1,0
0,.27000001,0,.22,.9375,1,2,0,0,0,0,1,4.3000002,0,1,0
0,.31999999,0,.25,.78014183,1,2,0,0,0,0,1,4.3000002,0,0,0
1,.33970001,0,.17819999,.5,2,1,0,0,0,0,1,10.6,0,0,0
1,.2642,0,.25850001,.78333336,1,1,0,1,0,0,1,3.2,1,0,0
0,.2,0,.19,.70080864,1,1,0,0,0,0,1,3.2,0,0,0
0,.33270001,0,.26770002,.71428573,1,2,0,0,0,1,1,3.5999999,0,0,0
0,.34999999,0,.2,.50387597,3,1,0,0,0,0,1,5.3000002,0,0,0
0,.37,0,.23999999,.65597665,1,1,0,0,0,0,1,1.8,0,0,0
0,.31490001,0,.2579,.87591243,1,2,0,0,0,1,1,4.3000002,0,1,0
0,.126,0,.124,.27272728,1,1,0,0,0,0,1,4.3000002,0,0,0
0,.32279998,0,.32279998,.86400002,1,2,0,0,0,0,1,3.5999999,0,1,0
0,.31900001,0,.278,.46666667,2,2,0,0,0,0,1,10.6,0,0,0
0,.34,0,.20999999,.87692308,5,2,0,0,0,0,1,3.2,1,1,0
0,.27790001,0,.00085000001,.62857145,1,2,0,0,0,0,1,3.2,0,0,0
0,.28999999,0,.23,.80000001,2,3,0,0,1,0,1,3.9000001,1,1,0
0,.38900003,0,.271,.942029,5,1,0,0,0,0,1,1.8,0,1,0
0,.31,0,.22,.80000001,2,2,0,0,1,1,1,10.6,0,1,0
0,.33000001,0,.31,.87244898,2,2,0,0,0,1,1,3.2,0,1,0
0,.07,0,.039999999,.51219511,1,1,0,0,0,1,1,3.9000001,1,0,0
0,.34999999,0,.22,.80000001,1,1,0,0,0,0,1,3.2,1,1,0
0,.39900002,0,.22,.36153847,1,1,1,0,0,0,1,3.0999999,0,0,0
0,.37,0,.25999999,.89534885,1,2,0,0,0,1,1,2,0,1,0
1,1.42,0,1.1,1.0375,1,1,1,0,1,1,1,3.2,1,0,1
0,.44,0,.2,.41666666,1,1,0,0,1,0,1,10.6,1,0,0
0,.14,0,.13,.34965035,4,1,0,0,0,0,1,1.8,0,0,0
0,.31,0,.25999999,.81818181,1,2,0,0,0,0,1,3.2,0,1,0
0,.35369998,0,.2825,.89375001,1,2,0,0,0,1,1,3.2,1,1,0
0,.34999999,0,.30000001,.87969923,1,2,0,0,0,0,1,3.2,0,1,0
0,.28749999,0,.2228,.6761905,1,2,0,0,0,1,1,3.2,1,0,0
0,.34,0,.28,.90344828,1,2,1,0,0,0,1,3.9000001,0,1,0
0,.36000001,0,.31999999,.68148148,1,2,0,0,0,1,1,1.8,1,0,0
0,.30000001,0,.23999999,.42372882,1,1,1,0,0,0,1,3.2,0,0,0
0,.50999999,0,.5,.79470199,2,1,0,0,0,1,1,3.2,0,0,0
0,.34,0,.27000001,.79310346,1,1,0,0,0,0,1,3.2,0,0,0
0,.25,0,.23999999,.68000001,1,2,0,0,0,0,1,3.2,0,0,0
0,.31999999,0,.31,.84057969,1,2,0,0,0,0,1,10.6,0,1,0
0,.36000001,0,.0099999998,1.4651163,1,2,0,0,1,0,1,1.8,1,0,1
0,.47999999,0,.15000001,.72666669,1,2,0,0,0,0,1,4.3000002,0,0,0
0,.354,0,.27599999,.83510637,6,1,0,0,0,0,1,4.3000002,0,1,0
0,.33000001,0,.31,.77777779,1,2,0,0,0,1,1,3.2,0,0,0
1,.34999999,0,.23,.75,2,1,0,0,1,0,1,3.2,1,0,0
0,.28,0,.23999999,.796875,1,1,0,0,0,0,1,1.8,0,0,0
0,.31999999,0,.2,.79699248,1,2,0,0,0,0,1,2,0,0,0
1,.69199997,0,.37799999,.80000001,5,2,0,0,1,0,1,3.2,0,1,0
1,.49000001,0,.37,.91558444,2,1,0,0,0,1,1,3.2,0,1,0
0,.36000001,0,.27000001,.46153846,5,2,0,0,0,0,1,3.9000001,0,0,0
0,.33000001,0,.31,.65437788,1,2,0,0,0,1,1,3.9000001,0,0,0
0,.28,0,.22,.92307693,4,2,0,0,0,1,1,3.0999999,0,1,0
0,.3136,0,.28760001,.30674848,2,1,0,0,0,0,1,4.3000002,0,0,0
0,.236,0,.21100001,.77916664,1,1,0,0,0,1,1,3.2,0,0,0
0,.33000001,0,.27000001,.75862068,1,2,0,0,0,0,1,3.2,0,0,0
0,.37,0,.25,.94267517,1,2,0,0,0,0,1,10.6,0,1,0
0,.27000001,0,.20999999,.80600464,2,1,0,0,0,0,1,3.9000001,0,1,0
0,.25,0,.20999999,.69230771,1,2,0,0,0,1,1,3.0999999,0,0,0
0,.44999999,0,.20999999,.80158728,2,1,0,0,0,0,1,3.0999999,0,1,0
0,.34,0,.27000001,.8359375,1,2,0,0,0,0,1,3.9000001,0,1,0
0,.34999999,0,.28999999,.74666667,1,2,0,0,0,1,1,3.9000001,1,0,0
0,.384,0,.142,.80000001,1,1,0,0,1,1,1,4.3000002,1,1,0
0,.2,0,.079999998,.11111111,1,1,0,0,0,0,1,3.2,1,0,0
0,.31999999,0,.31,.63636363,2,2,0,0,0,0,1,3.2,0,0,0
0,.37,0,.33000001,.92207789,2,2,0,0,0,1,1,3.2,1,1,0
1,.43000001,0,.20999999,.5625,2,1,0,0,1,0,1,3.2,1,0,0
1,.2,0,.15000001,.6122449,6,2,0,0,0,0,1,1.8,0,0,0
0,.27000001,0,.19,.79651165,1,1,0,0,1,0,1,3.2,0,0,0
0,.66100001,0,.66100001,.43356642,1,2,0,0,0,1,1,2,0,0,0
0,.27000001,0,.25999999,.89393938,1,2,0,0,0,0,1,10.6,0,1,0
0,.28100002,0,.271,.4675,1,2,0,0,0,0,1,3.2,0,0,0
